file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,113,css,00459eb6,F3rando,2026-04-24,12:12:29,-07:00,2026-04-24T12:12:29-07:00,1,10
style.css,114,css,f8f3a38b,F3rando,2026-04-10,14:51:54,-07:00,2026-04-10T14:51:54-07:00,0,0
style.css,115,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,51
style.css,116,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,10
style.css,117,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,12
style.css,118,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,14
style.css,119,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,22
style.css,120,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,10
style.css,121,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,16
style.css,122,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,123,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,124,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,18
style.css,125,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,14
style.css,126,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,13
style.css,127,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,16
style.css,128,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,129,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,130,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,47
style.css,131,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,23
style.css,132,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,14
style.css,133,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,16
style.css,134,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,135,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,136,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,51
style.css,137,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,11
style.css,138,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,139,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,140,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,9
style.css,141,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,35
style.css,142,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,143,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,144,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,18
style.css,145,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,17
style.css,146,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,147,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,148,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,21
style.css,149,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,15
style.css,150,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,0
style.css,151,css,f8f3a38b,F3rando,2026-04-10,14:51:54,-07:00,2026-04-10T14:51:54-07:00,0,0
style.css,152,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,0,7
style.css,153,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,6
style.css,154,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,25
style.css,155,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,12
style.css,156,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,57
style.css,157,css,b036012a,F3rando,2026-04-30,19:56:26,-07:00,2026-04-30T19:56:26-07:00,1,19
